"filename", "language", "XML", "ASP.NET Razor", "C#", "JSON", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\ChangePassword.cshtml.cs", "C#", 0, 0, 78, 0, 0, 0, 0, 0, 0, 12, 90
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\DataUpdatedSuccessfully.cshtml", "ASP.NET Razor", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\DataUpdatedSuccessfully.cshtml.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\DeliveryAdress.cshtml", "ASP.NET Razor", 0, 155, 0, 0, 0, 0, 0, 0, 0, 11, 166
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\DeliveryAdress.cshtml.cs", "C#", 0, 0, 124, 0, 0, 0, 0, 0, 0, 31, 155
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\EditAdress.cshtml", "ASP.NET Razor", 0, 53, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\EditAdress.cshtml.cs", "C#", 0, 0, 73, 0, 0, 0, 0, 0, 0, 10, 83
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\EditPersonalInformation.cshtml", "ASP.NET Razor", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\EditPersonalInformation.cshtml.cs", "C#", 0, 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Error.cshtml", "ASP.NET Razor", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Error.cshtml.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Index.cshtml", "ASP.NET Razor", 0, 113, 0, 0, 0, 0, 0, 0, 0, 9, 122
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Index.cshtml.cs", "C#", 0, 0, 117, 0, 0, 0, 0, 0, 6, 25, 148
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Login.cshtml", "ASP.NET Razor", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Logout.cshtml", "ASP.NET Razor", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
